decimalLatitude,decimalLongitude,year,stateProvince
-28.946439,153.319078,2008.0,New South Wales
-28.8058,153.21721,,New South Wales
-28.534,153.443,2021.0,New South Wales
-28.358248,153.354128,,New South Wales
-28.434938,153.023934,2006.0,New South Wales
-28.374904,153.222663,,New South Wales
-29.32392,153.2363,2015.0,New South Wales
-28.446273,153.144562,2006.0,New South Wales
-28.758056,153.568538,1991.0,New South Wales
-29.50537,152.823846,2026.0,New South Wales
-28.43798,153.1436,2015.0,New South Wales
-28.58545,153.554528,2023.0,New South Wales
-29.417211,153.229209,2009.0,New South Wales
-28.42523,153.363052,,New South Wales
-30.646868,152.984371,2022.0,New South Wales
-28.649497,153.362454,2024.0,New South Wales
-30.284704,153.116136,2010.0,New South Wales
-28.330933,153.537226,2018.0,New South Wales
-29.34406,153.2277,2013.0,New South Wales
-29.505619,152.823089,2026.0,New South Wales
-28.785295,153.487717,2026.0,New South Wales
-28.4361,153.144711,2006.0,New South Wales
-29.32542,153.2358,2015.0,New South Wales
-28.749624,152.891406,2021.0,New South Wales
-28.401945,153.114069,2010.0,New South Wales
-29.505887,152.823848,2022.0,New South Wales
-28.588573,153.516491,1991.0,New South Wales
-29.457382,153.274878,2009.0,New South Wales
-28.4486,153.1434,2015.0,New South Wales
-28.850262,153.566635,2015.0,New South Wales
-28.85972,153.4756,,New South Wales
-28.258794,153.556977,2005.0,New South Wales
-29.437333,153.355911,,New South Wales
-28.43679,153.1425,2015.0,New South Wales
-28.288673,153.572144,2002.0,New South Wales
-28.510764,153.542869,,New South Wales
-28.770609,153.593859,,New South Wales
-28.661964,153.608175,2005.0,New South Wales
-28.41929,153.1275,2015.0,New South Wales
-28.791417,153.534943,2022.0,New South Wales
-29.49931,153.22978,2021.0,New South Wales
-28.653108,153.62425,1994.0,New South Wales
-28.640628,153.58939,2005.0,New South Wales
-28.79066,153.358148,,New South Wales
-28.474723,153.533183,,New South Wales
-28.588573,153.516491,1994.0,New South Wales
-28.634474,153.479898,,New South Wales
-33.86611,151.23167,2020.0,New South Wales
-28.701367,153.532112,,New South Wales
-28.240577,153.563333,,New South Wales
-28.45835,153.1346,2015.0,New South Wales
-28.728813,153.540875,2016.0,New South Wales
-29.339823,153.248932,2018.0,New South Wales
-33.90167,151.245,2022.0,New South Wales
-28.773758,153.452366,2019.0,New South Wales
-29.335417,153.223165,2009.0,New South Wales
-28.58605,153.549278,2023.0,New South Wales
-28.722298,153.474103,,New South Wales
-33.433539,149.577711,2024.0,New South Wales
-28.969842,153.408551,2002.0,New South Wales
-28.672266,153.613565,2008.0,New South Wales
-28.607462,153.402664,2018.0,New South Wales
-29.453753,153.358913,1994.0,New South Wales
-28.47095,153.520265,2014.0,New South Wales
-29.069112,153.336519,,New South Wales
-28.671147,153.232181,,New South Wales
-28.588573,153.516491,2000.0,New South Wales
-28.590266,153.515421,2008.0,New South Wales
-29.596353,153.329168,2009.0,New South Wales
-29.420273,153.015189,2022.0,New South Wales
-28.303979,153.301948,,New South Wales
-28.32821,153.3941,2013.0,New South Wales
-29.331075,153.233465,2009.0,New South Wales
-29.400353,153.220614,2009.0,New South Wales
-28.43769,153.14308,2009.0,New South Wales
-28.6167,153.5667,2002.0,New South Wales
-28.527547,153.539845,,New South Wales
-28.308215,153.340186,2022.0,New South Wales
-28.738367,153.461442,,New South Wales
-28.445026,153.194443,2017.0,New South Wales
-28.258456,153.570761,2009.0,New South Wales
-28.244462,153.549506,2008.0,New South Wales
-28.477886,153.167099,2018.0,New South Wales
-28.185942,153.50516,2024.0,New South Wales
-29.348446,153.229834,2009.0,New South Wales
-28.359003,153.005476,,New South Wales
-28.561335,153.441097,,New South Wales
-28.568353,153.51928,2023.0,New South Wales
-29.47927,153.3629,2013.0,New South Wales
-28.693803,153.60709,2001.0,New South Wales
-28.716476,153.288931,,New South Wales
-29.339882,153.24942,2018.0,New South Wales
-28.41715,153.124176,2018.0,New South Wales
-29.46974,153.2256,2015.0,New South Wales
-28.7067,153.084,2021.0,New South Wales
-29.568108,153.336161,2019.0,New South Wales
-29.359612,153.282486,2017.0,New South Wales
-28.339659,153.565222,,New South Wales
-29.441409,153.351136,2007.0,New South Wales
-28.347854,152.661497,1998.0,New South Wales
-28.44504,153.1947,2013.0,New South Wales
-28.318987,153.449901,,New South Wales
-31.899443,152.463149,,New South Wales
-29.25359,153.364747,2023.0,New South Wales
-29.479247,153.263075,2009.0,New South Wales
-28.67079,152.9959,,New South Wales
-28.34,153.565,2023.0,New South Wales
-31.45393,152.869695,,New South Wales
-28.389812,153.323105,2018.0,New South Wales
-28.165494,153.50437,2008.0,New South Wales
-29.47878,153.3635,2013.0,New South Wales
-28.36163,152.968618,2003.0,New South Wales
-29.152609,153.294278,2020.0,New South Wales
-29.867616,152.691299,2022.0,New South Wales
-28.323627,153.474529,,New South Wales
-28.461843,153.187408,2017.0,New South Wales
-29.348446,153.229834,2009.0,New South Wales
-28.653119,153.619657,,New South Wales
-29.44462,153.364105,2025.0,New South Wales
-29.47904,153.3633,2015.0,New South Wales
-29.427642,153.335109,2009.0,New South Wales
-29.34947,153.242773,2009.0,New South Wales
-28.554607,153.54613,2021.0,New South Wales
-29.597304,153.327337,2009.0,New South Wales
-28.4227,153.351,2022.0,New South Wales
-29.35902,153.2368,2013.0,New South Wales
-28.805586,153.27977,,New South Wales
-28.887634,153.548547,2007.0,New South Wales
-28.365006,153.433765,1994.0,New South Wales
-29.369041,153.230261,2009.0,New South Wales
-28.588573,153.516491,1995.0,New South Wales
-31.937314,152.467884,1996.0,New South Wales
-28.706935,153.464674,,New South Wales
-28.260797,153.56598,2006.0,New South Wales
-28.485168,153.381445,2019.0,New South Wales
-28.322165,153.397393,2024.0,New South Wales
-28.676072,153.547214,2017.0,New South Wales
-28.385998,153.327209,2018.0,New South Wales
-28.588573,153.516491,2003.0,New South Wales
-28.299119,153.41302,,New South Wales
-28.44982,153.190689,2018.0,New South Wales
-29.480163,153.363957,2009.0,New South Wales
-28.81938,153.299609,2023.0,New South Wales
-29.33147,153.232311,2009.0,New South Wales
-29.596002,153.328634,2009.0,New South Wales
-28.820225,153.536381,2024.0,New South Wales
-28.39736,153.0572,2015.0,New South Wales
-28.422613,152.990309,,New South Wales
-29.341555,152.632963,2024.0,New South Wales
-28.931668,153.389141,,New South Wales
-28.477938,153.167221,2018.0,New South Wales
-28.438606,153.139323,2006.0,New South Wales
-28.785326,153.388899,,New South Wales
-29.47886,153.3636,2013.0,New South Wales
-29.337717,153.260574,2017.0,New South Wales
-28.57994,153.250869,2023.0,New South Wales
-29.466301,153.228675,2009.0,New South Wales
-28.3606,153.571866,,New South Wales
-28.577254,153.543196,,New South Wales
-28.272715,153.405248,2018.0,New South Wales
-28.313886,153.312176,1994.0,New South Wales
-28.42278,153.1272,2015.0,New South Wales
-28.171649,153.502927,2024.0,New South Wales
-28.496579,153.536663,,New South Wales
-28.681722,153.313008,,New South Wales
-28.586841,153.484671,2020.0,New South Wales
-28.44986,153.1399,2015.0,New South Wales
-28.659369,153.111423,,New South Wales
-28.34992,153.353533,,New South Wales
-29.4,153.3,2024.0,New South Wales
-28.8393,153.443,2021.0,New South Wales
-28.74724,153.159061,,New South Wales
-29.62101,153.3031,2013.0,New South Wales
-29.501622,152.88086,2022.0,New South Wales
-28.54125,153.2992,2017.0,New South Wales
-29.012714,153.439393,,New South Wales
-28.601667,153.47055,1998.0,New South Wales
-28.4111,153.56,2023.0,New South Wales
-29.4448,153.331041,2009.0,New South Wales
-29.4794,153.3634,2013.0,New South Wales
-28.778318,153.310009,,New South Wales
-28.410412,153.124594,2007.0,New South Wales
-28.785308,153.592856,2013.0,New South Wales
-28.855556,153.479645,,New South Wales
-28.588573,153.516491,1996.0,New South Wales
-28.733902,153.171875,2020.0,New South Wales
-28.46452,153.462779,2023.0,New South Wales
-28.646163,153.36064,,New South Wales
-28.433,153.121,2015.0,New South Wales
-28.8045,153.3,2020.0,New South Wales
-28.855556,153.561736,,New South Wales
-28.586543,153.508213,2020.0,New South Wales
-28.848416,153.086438,,New South Wales
-28.797258,153.211955,,New South Wales
-29.04306,153.273393,,New South Wales
-28.785718,153.201962,,New South Wales
-28.3769,153.5622,2013.0,New South Wales
-34.946881,150.536318,2023.0,New South Wales
-28.358067,153.569408,2016.0,New South Wales
-28.293392,153.300878,2021.0,New South Wales
-29.35925,153.2396,2013.0,New South Wales
-28.44304,153.1426,2015.0,New South Wales
-28.446554,153.191589,2017.0,New South Wales
-28.723117,153.39397,2020.0,New South Wales
-28.65882,153.172764,,New South Wales
-28.689469,153.274297,,New South Wales
-28.37539,153.1026,2015.0,New South Wales
-28.40476,153.1226,2015.0,New South Wales
-28.27878,153.390228,2024.0,New South Wales
-28.596419,153.222347,2025.0,New South Wales
-28.177618,153.520713,2019.0,New South Wales
-28.198841,153.529013,2010.0,New South Wales
-28.345574,153.383008,,New South Wales
-28.942831,153.458194,,New South Wales
-29.453872,153.311477,2009.0,New South Wales
-28.327703,153.55762,2021.0,New South Wales
-28.625343,153.275844,,New South Wales
-28.70327,153.299758,,New South Wales
-28.386832,153.564809,2021.0,New South Wales
-28.74265,153.496063,,New South Wales
-28.7403,153.079,2020.0,New South Wales
-28.58225,153.554528,2023.0,New South Wales
-28.821045,153.287315,,New South Wales
-28.734483,152.616834,2022.0,New South Wales
-28.590266,153.515421,2006.0,New South Wales
-34.02719,151.1296,2014.0,New South Wales
-29.3356,153.260803,2017.0,New South Wales
