year,stateProvince,decimalLatitude,decimalLongitude,vernacularName,species
2019,Victoria,-37.99116,145.81065,Cat,Felis catus
2022,Victoria,-38.87524,146.26808,Cat,Felis catus
2013,Victoria,-37.99967,140.9874,Cat,Felis catus
2015,Victoria,-38.04361,141.16181,Cat,Felis catus
2013,Victoria,-38.01135,140.99592,Cat,Felis catus
2019,Victoria,-36.87185,145.13126,Cat,Felis catus
1986,Victoria,-37.62345,148.79292,Cat,Felis catus
2021,Victoria,-37.2066,147.91384,Cat,Felis catus
2017,Victoria,-34.76185,142.46122,Cat,Felis catus
2018,Victoria,-37.9004,145.5985,Cat,Felis catus
1995,Victoria,-37.75379,148.93727,Cat,Felis catus
2022,Victoria,-37.28964,148.27658,Cat,Felis catus
2003,Victoria,-38.3479,144.97062,Cat,Felis catus
1988,Victoria,-38.27795,145.09831,Cat,Felis catus
2016,Victoria,-37.36161,148.28189,Cat,Felis catus
2019,Victoria,-35.40046,141.53729,Cat,Felis catus
2020,Victoria,-37.1454,142.25771,Cat,Felis catus
2004,Victoria,-36.62136,143.49793,Cat,Felis catus
2017,Victoria,-36.86545,148.31825,Cat,Felis catus
2012,Victoria,-38.19959,145.19296,Cat,Felis catus
1980,Victoria,-38.0402,141.29304,Cat,Felis catus
2013,Victoria,-38.02177,141.63781,Cat,Felis catus
2022,Victoria,-37.49486,148.6957,Cat,Felis catus
2018,Victoria,-37.52417,145.93105,Cat,Felis catus
2010,Victoria,-37.2178,143.44889,Cat,Felis catus
2007,Victoria,-38.37004,145.0009,Cat,Felis catus
1978,Victoria,-37.95683,145.25965,Cat,Felis catus
2016,Victoria,-38.01539,141.15669,Cat,Felis catus
2019,Victoria,-37.75782,144.64259,Cat,Felis catus
2019,Victoria,-37.39537,148.88059,Cat,Felis catus
2019,Victoria,-36.59774,141.6528,Cat,Felis catus
2019,Victoria,-38.02435,141.13823,Cat,Felis catus
1977,Victoria,-37.37346,147.87627,Cat,Felis catus
2007,Victoria,-38.37004,145.0009,Cat,Felis catus
2014,Victoria,-37.5073,145.52707,Cat,Felis catus
2021,Victoria,-36.92701,147.26462,Cat,Felis catus
2015,Victoria,-38.0238,145.4336,Cat,Felis catus
2016,Victoria,-37.54566,149.52208,Cat,Felis catus
2003,Victoria,-37.81281,144.98195,Cat,Felis catus
2021,Victoria,-38.58509,145.51625,Cat,Felis catus
2020,Victoria,-37.11812,142.42753,Cat,Felis catus
2012,Victoria,-37.31395,148.31764,Cat,Felis catus
2020,Victoria,-37.02807,148.4488,Cat,Felis catus
1981,Victoria,-36.62347,146.20961,Cat,Felis catus
2013,Victoria,-38.1801,141.51042,Cat,Felis catus
2023,Victoria,-37.07812,147.84073,Cat,Felis catus
2013,Victoria,-37.32033,148.32622,Cat,Felis catus
2019,Victoria,-35.31832,141.51397,Cat,Felis catus
2016,Victoria,-37.28965,148.9427,Cat,Felis catus
2023,Victoria,-37.34918,145.81897,Cat,Felis catus
2017,Victoria,-37.40904,147.59136,Cat,Felis catus
1979,Victoria,-38.20687,141.70971,Cat,Felis catus
2021,Victoria,-37.09895,146.49562,Cat,Felis catus
2021,Victoria,-37.38006,145.92277,Cat,Felis catus
2019,Victoria,-34.68797,142.35267,Cat,Felis catus
2023,Victoria,-37.85533,146.1231,Cat,Felis catus
2006,Victoria,-37.2915,148.99187,Cat,Felis catus
1995,Victoria,-37.81001,148.06064,Cat,Felis catus
1998,Victoria,-35.19512,142.13881,Cat,Felis catus
2016,Victoria,-36.93132,148.41957,Cat,Felis catus
2020,Victoria,-36.99265,147.17613,Cat,Felis catus
2021,Victoria,-38.07465,147.48414,Cat,Felis catus
2020,Victoria,-37.22481,142.58375,Cat,Felis catus
2005,Victoria,-37.36428,145.22325,Cat,Felis catus
2013,Victoria,-38.4353,144.0442,Cat,Felis catus
2001,Victoria,-37.17389,142.54178,Cat,Felis catus
2017,Victoria,-37.2162,147.49145,Cat,Felis catus
2018,Victoria,-37.96803,145.92536,Cat,Felis catus
2016,Victoria,-37.33873,148.31531,Cat,Felis catus
2019,Victoria,-35.33621,141.49074,Cat,Felis catus
2021,Victoria,-38.37948,145.34636,Cat,Felis catus
2003,Victoria,-37.81281,144.98195,Cat,Felis catus
2015,Victoria,-37.409,145.87371,Cat,Felis catus
2021,Victoria,-38.31039,145.30188,Cat,Felis catus
2008,Victoria,-37.4218,146.74837,Cat,Felis catus
2017,Victoria,-37.37733,147.72217,Cat,Felis catus
1979,Victoria,-37.79011,149.29292,Cat,Felis catus
